FID,Block Number,x1,y1,dma,Subscription Number,zone,status
3762,4342,32.9130435,24.09546298,3,47412,1034,water
3763,4343,32.91310837,24.09547921,3,0,1034,non-user
3764,4344,32.91316825,24.09549843,3,0,1034,illegal
3765,4345,32.91325926,24.09552615,3,63233,1034,water
3766,4346,32.91338849,24.09556215,3,0,1034,water
3767,4347,32.9133988,24.09565161,3,0,0,
3768,4348,32.91338464,24.0956931,3,0,0,
3769,4349,32.9133707,24.09574183,3,30396,1034,water
3770,4350,32.91330088,24.0956748,3,11086,1034,water
3771,4351,32.9132236,24.09565146,3,0,1034,illegal
3772,4352,32.91314158,24.09562652,3,11645,1034,water
3773,4353,32.91306882,24.09560588,3,0,1034,non-user
3774,4354,32.91298691,24.09558002,3,66865,1034,water
3775,4355,32.91288838,24.09555049,3,11374,1034,water
3776,4356,32.91280995,24.09551133,3,0,0,
3777,4357,32.91271619,24.09550848,3,614550,1034,water
3778,4358,32.91263898,24.09547906,3,716436,1034,water
3779,4359,32.91255144,24.09544891,3,21711,1034,water
3780,4360,32.91241463,24.0953979,3,0,1134,illegal
3781,4361,32.91239002,24.09547831,3,0,1134,illegal
3782,4362,32.91236762,24.09555084,3,0,1134,illegal
3783,4363,32.91235524,24.09561146,3,37647,1134,water
3784,4364,32.912341,24.09566345,3,44356,1134,water
3785,4365,32.91232794,24.09571461,3,12945,1134,water
3786,4366,32.91231184,24.09576588,3,613758,1134,water
3787,4367,32.91229845,24.09581779,3,12151,1134,water
3788,4368,32.91221407,24.09577829,3,0,1134,water
3789,4369,32.91223158,24.09571296,3,0,1134,illegal
3790,4370,32.91224608,24.09565287,3,33886,1134,water
3791,4371,32.91214637,24.09554766,3,46418,1134,water
3792,4372,32.91210675,24.09564258,3,0,1134,illegal
3793,4373,32.91211694,24.09574516,3,0,1134,water
3794,4374,32.9120317,24.09572408,3,24758,1134,water
3795,4375,32.91194376,24.09572556,3,7428,1134,water
3796,4376,32.91184709,24.09571632,3,18279,1134,water
3797,4377,32.91190642,24.09565188,3,27315,1134,water
3798,4378,32.91191007,24.09558101,3,24574,1134,water
3799,4379,32.91179862,24.095508,3,14421,1134,water
3800,4380,32.91177707,24.09543818,3,9690,1134,water
3801,4381,32.9117537,24.09537564,3,9978,1134,water
3802,4382,32.91186799,24.09549983,3,12012,1134,water
3803,4383,32.9118623,24.09539852,3,639500,1134,water
3804,4384,32.91193167,24.09544216,3,0,1134,illegal
