Block Number,X,Y,DMA,Zone,Status
2053,32.91814353,24.09367635,1,1135,water meter
2054,32.91811143,24.09375299,1,1135,water meter
2055,32.9181763,24.09380973,1,1135,water meter
2056,32.91809236,24.09382918,1,1135,illegal connection
2057,32.91800973,24.09384846,1,1135,water meter
2058,32.91792952,24.09386416,1,1135,illegal connection
2059,32.91790838,24.09381214,1,1135,illegal connection
2060,32.91787899,24.09372377,1,1135,illegal connection
2061,32.91798269,24.09375426,1,1135,water meter
2062,32.91803235,24.09366137,1,1135,water meter
2064,32.91787983,24.09355359,1,1135,illegal connection
2065,32.9178149,24.09347548,1,1135,illegal connection
2066,32.91769184,24.09351631,1,1135,illegal connection
2067,32.91771548,24.09364134,1,1135,illegal connection
2068,32.91774223,24.09373693,1,1135,water meter
2069,32.91775625,24.09379589,1,1135,water meter
2070,32.91778811,24.09388023,1,1135,water meter
2072,32.91763882,24.09393107,1,1135,illegal connection
2073,32.91751861,24.0939117,1,1135,illegal connection
2074,32.91762356,24.09383145,1,1135,water meter
2075,32.9175165,24.09373599,1,1135,water meter
2076,32.91753835,24.09350185,1,1135,illegal connection
2077,32.91751141,24.09341705,1,1135,illegal connection
2078,32.91735852,24.09345423,1,1135,illegal connection
2079,32.91722557,24.09342035,1,1135,non-user
2081,32.91698301,24.09341522,1,1135,water meter
2082,32.91692337,24.09354907,1,1135,non-user
2083,32.91695563,24.09365202,1,1135,illegal connection
2084,32.91703864,24.09363064,1,1135,water meter
2085,32.9172065,24.09359857,1,1135,water meter
2086,32.91730044,24.09357814,1,1135,water meter
2087,32.91684247,24.09365596,1,1135,water meter
2088,32.9167372,24.09368546,1,1135,water meter
2089,32.91665391,24.09373241,1,1135,water meter
2090,32.91662211,24.09366524,1,1135,water meter
2091,32.91655476,24.09357298,1,1135,water meter
2092,32.9166068,24.0935577,1,1135,water meter
2093,32.91667053,24.09353909,1,1135,water meter
2094,32.91674363,24.09351533,1,1135,illegal connection
2095,32.91681859,24.09349275,1,1135,water meter
2096,32.91715506,24.09335538,1,1135,illegal connection
2097,32.91721798,24.09333913,1,1135,water meter
2098,32.91728928,24.09331879,1,1135,water meter
2099,32.91740632,24.09336863,1,1135,illegal connection
2100,32.91739559,24.09328862,1,1135,water meter
2101,32.91749188,24.0932513,1,1135,illegal connection
2102,32.9175193,24.09332735,1,1135,water meter
2103,32.91768739,24.09340547,1,1135,illegal connection
2105,32.9178046,24.09337785,1,1135,water meter
2106,32.91789751,24.09336019,1,1135,water meter
2107,32.91800906,24.09336896,1,1135,water meter
2108,32.91810719,24.09335418,1,1135,water meter
2109,32.91819427,24.09331292,1,1135,illegal connection
2110,32.91828656,24.0933014,1,1135,water meter
2111,32.9183399,24.0932212,1,1135,water meter
2112,32.91816119,24.09320515,1,1135,water meter
2113,32.91795497,24.093199,1,1135,water meter
2114,32.91785316,24.09322414,1,1135,water meter
2116,32.91771406,24.09326076,1,1135,water meter
2117,32.91769094,24.09318862,1,1135,water meter
2118,32.91777909,24.09320846,1,1135,water meter
2119,32.91789024,24.09313388,1,1135,water meter
2120,32.91796973,24.09311249,1,1135,illegal connection
2121,32.91844622,24.09322934,1,1135,illegal connection
2122,32.91858377,24.09319402,1,1135,water meter
2123,32.91873137,24.09312391,1,1135,illegal connection
2124,32.91880261,24.09305998,1,1135,water meter
2126,32.91792996,24.09301375,1,1135,water meter
2127,32.91772644,24.09304711,1,1135,non-user
2128,32.91759405,24.0930822,1,1135,water meter
2129,32.91757075,24.09299318,1,1135,water meter
2130,32.91769987,24.09297632,1,1135,non-user
2132,32.91750492,24.09310784,1,1135,water meter
2133,32.91743589,24.09314994,1,1135,illegal connection
2135,32.91740602,24.09308494,1,1135,water meter
2136,32.91740093,24.09298356,1,1135,water meter
2138,32.91746808,24.09302999,1,1135,illegal connection
2139,32.91731638,24.09316835,1,1135,water meter
2140,32.91723953,24.09321066,1,1135,water meter
2141,32.91721366,24.09314045,1,1135,illegal connection
2142,32.91712345,24.09316465,1,1135,water meter
2143,32.91714442,24.09323787,1,1135,water meter
2144,32.91706271,24.09326264,1,1135,water meter
2145,32.91703725,24.0931903,1,1135,water meter
2146,32.91694198,24.09320333,1,1135,water meter
2147,32.91696067,24.09327684,1,1135,water meter
2148,32.9168902,24.09331365,1,1135,water meter
2149,32.91686148,24.09324062,1,1135,water meter
2150,32.91677296,24.09326259,1,1135,water meter
2151,32.91679875,24.09333729,1,1135,water meter
2152,32.91671965,24.09336366,1,1135,water meter
2153,32.91668922,24.0932918,1,1135,water meter
2154,32.91666373,24.09321663,1,1135,water meter
2155,32.91663193,24.09314535,1,1135,water meter
2156,32.91670875,24.09311972,1,1135,water meter
2157,32.91674435,24.09318993,1,1135,water meter
2158,32.91683102,24.09315564,1,1135,water meter
2159,32.91681214,24.09308125,1,1135,water meter
2160,32.91688378,24.09305456,1,1135,water meter
2161,32.91691469,24.09312933,1,1135,water meter
2162,32.91700838,24.09310232,1,1135,water meter
2163,32.91698288,24.09302361,1,1135,water meter
2164,32.91706265,24.09300052,1,1135,illegal connection
2165,32.91709407,24.09307764,1,1135,water meter
2166,32.91718914,24.09305671,1,1135,water meter
2167,32.91716684,24.09297672,1,1135,illegal connection
2168,32.91724524,24.09295771,1,1135,water meter
2169,32.91727018,24.09303053,1,1135,water meter
2170,32.91729311,24.0930985,1,1135,water meter
2171,32.91709318,24.09283621,1,1135,non-user
2172,32.91702064,24.09289407,1,1135,water meter
2173,32.91692219,24.09292194,1,1135,water meter
2174,32.91683356,24.09294771,1,1135,water meter
2175,32.91674018,24.09297505,1,1135,water meter
2176,32.91664234,24.09292225,1,1135,water meter
2177,32.91679254,24.09288083,1,1135,water meter
2178,32.91690298,24.09285053,1,1135,water meter
2179,32.91699648,24.09282487,1,1135,illegal connection
2181,32.91649192,24.09311566,1,1135,water meter
2182,32.91653781,24.09324025,1,1135,water meter
2183,32.91657757,24.09334069,1,1135,water meter
2184,32.91650271,24.09339158,1,1135,water meter
2185,32.9163717,24.09335834,1,1135,water meter
2186,32.91630616,24.09339145,1,1135,illegal connection
2187,32.91622871,24.09347487,1,1135,water meter
2188,32.91619112,24.09337452,1,1135,illegal connection
2189,32.91612053,24.09324406,1,1135,water meter
2190,32.9162324,24.09320842,1,1135,water meter
2191,32.91631827,24.09321274,1,1135,water meter
2192,32.91642082,24.09317723,1,1135,
2193,32.91645678,24.09356056,1,1135,water meter
2194,32.91648509,24.09362991,1,1135,water meter
2195,32.91650681,24.09368494,1,1135,water meter
2196,32.91653865,24.09375792,1,1135,illegal connection
2197,32.91642308,24.09378788,1,1135,illegal connection
2198,32.91635523,24.09380937,1,1135,illegal connection
2199,32.9163251,24.09373743,1,1135,illegal connection
2200,32.91629844,24.09367379,1,1135,illegal connection
2201,32.91626967,24.09360425,1,1135,water meter
2202,32.91634674,24.09359763,1,1135,water meter
2203,32.9161161,24.09364285,1,1135,water meter
2204,32.91614434,24.09371441,1,1135,water meter
2205,32.91617765,24.09378998,1,1135,water meter
2206,32.91620476,24.09385937,1,1135,illegal connection
2207,32.91609919,24.0938959,1,1135,illegal connection
2208,32.91602977,24.09391396,1,1135,water meter
2209,32.91593046,24.09392898,1,1135,water meter
2210,32.91589896,24.09385382,1,1135,illegal connection
2211,32.91587156,24.09379015,1,1135,water meter
2212,32.91584432,24.09372465,1,1135,illegal connection
2213,32.91595573,24.09371617,1,1135,water meter
2214,32.91602652,24.09369803,1,1135,water meter
2215,32.91588085,24.09410748,1,1135,illegal connection
2216,32.91596211,24.09408277,1,1135,water meter
2217,32.91607088,24.09405306,1,1135,water meter
2218,32.91613561,24.09403679,1,1135,water meter
2219,32.91624614,24.09399641,1,1135,illegal connection
2220,32.91628032,24.09409096,1,1135,water meter
2221,32.91633337,24.09421183,1,1135,illegal connection
2222,32.91622393,24.09424225,1,1135,water meter
2223,32.91617447,24.09428617,1,1135,water meter
2224,32.91605818,24.09430961,1,1135,illegal connection
2225,32.91647925,24.09411418,1,1135,water meter
2226,32.91653954,24.09400533,1,1135,water meter
2227,32.91658431,24.09388937,1,1135,water meter
2228,32.91662261,24.09397607,1,1135,water meter
2229,32.9167135,24.09394943,1,1135,water meter
2230,32.91668169,24.09386316,1,1135,water meter
2231,32.91687076,24.09381209,1,1135,water meter
2232,32.91714602,24.09376957,1,1135,water meter
2240,32.91739844,24.09413467,1,1135,water meter
2241,32.91745197,24.09414768,1,1135,illegal connection
2242,32.91755304,24.09412245,1,1135,illegal connection
2245,32.9176768,24.09418762,1,1135,water meter
2246,32.91758192,24.09430712,1,1135,water meter
2247,32.91750625,24.09430608,1,1135,water meter
2248,32.91739216,24.09432769,1,1135,illegal connection
2249,32.91731778,24.09420118,1,1135,illegal connection
2250,32.91723165,24.09418905,1,1135,water meter
2251,32.91713821,24.0941775,1,1135,non-user
2252,32.91704965,24.09418074,1,1135,water meter
2253,32.91694866,24.09415894,1,1135,water meter
2254,32.91689946,24.094003,1,1135,water meter
2255,32.91679112,24.09414215,1,1135,illegal connection
2256,32.91676891,24.09403603,1,1135,water meter
2258,32.9168403,24.09390881,1,1135,illegal connection
2259,32.91665241,24.09407146,1,1135,water meter
2260,32.91670608,24.09420146,1,1135,water meter
2261,32.91662638,24.09422003,1,1135,water meter
2262,32.91659869,24.09414857,1,1135,illegal connection
2263,32.91794603,24.09397915,1,1135,illegal connection
2264,32.918035,24.09398747,1,1135,illegal connection
2265,32.91812165,24.09395296,1,1135,water meter
2266,32.91821547,24.09396631,1,1135,water meter
2267,32.91830164,24.09389522,1,1135,water meter
2268,32.91839604,24.09386693,1,1135,illegal connection
2270,32.91852379,24.09383653,1,1135,water meter
2271,32.91859326,24.09393063,1,1135,water meter
2272,32.91862759,24.09402528,1,1135,
2274,32.91866206,24.09413689,1,1135,water meter
2276,32.91858035,24.09416714,1,1135,water meter
2277,32.9185457,24.09406639,1,1135,illegal connection
2278,32.91850252,24.09396329,1,1135,illegal connection
2279,32.91836979,24.09396223,1,1135,water meter
2280,32.91836905,24.09405532,1,1135,illegal connection
2281,32.91840289,24.09413853,1,1135,illegal connection
2282,32.91841697,24.09419435,1,1135,illegal connection
2283,32.91845507,24.09424064,1,1135,illegal connection
2284,32.91836425,24.09427065,1,1135,illegal connection
2285,32.91835716,24.0943601,1,1135,water meter
2286,32.91846292,24.09434398,1,1135,water meter
2287,32.9185055,24.09440901,1,1135,water meter
2288,32.91844328,24.09442105,1,1035,illegal connection
2289,32.9183677,24.0944361,1,1035,water meter
2290,32.9182726,24.09445475,1,1135,water meter
2291,32.91823735,24.09438385,1,1035,illegal connection
2292,32.91829357,24.09437038,1,1046,water meter
